Entity,Day,Data
Afghanistan,2021-05-11,55624
Afghanistan,2021-05-20,77560
Afghanistan,2021-05-24,96910
Afghanistan,2021-05-26,111082
Afghanistan,2021-05-27,113739
Afghanistan,2021-05-30,119926
Afghanistan,2021-06-02,144600
Afghanistan,2021-06-03,148505
Afghanistan,2021-06-08,158343
Afghanistan,2021-06-14,177266
Afghanistan,2021-06-22,183762
Afghanistan,2021-06-27,186260
Afghanistan,2021-06-30,187654
Afghanistan,2021-07-05,189322
Afghanistan,2021-07-07,199250
Afghanistan,2021-07-11,219159
Afghanistan,2021-08-20,430744
Afghanistan,2021-11-14,3188609
Afghanistan,2021-12-27,3753224
Afghanistan,2022-01-09,3809353
Afghanistan,2022-01-11,3814837
Afghanistan,2022-01-13,3823786
Afghanistan,2022-01-17,3832821
Afghanistan,2022-01-19,3836731
Afghanistan,2022-01-24,3851307
Afghanistan,2022-01-26,3866279
Afghanistan,2022-01-27,3868832
Afghanistan,2022-01-31,3892831
Afghanistan,2022-02-02,3912336
Afghanistan,2022-02-07,3959887
Afghanistan,2022-02-14,4043580
Afghanistan,2022-02-20,4125717
Afghanistan,2022-02-27,4231984
Afghanistan,2022-03-06,4281934
Afghanistan,2022-03-17,4402868
Afghanistan,2022-03-22,4420127
Afghanistan,2022-04-04,4532577
Afghanistan,2022-04-14,4595506
Afghanistan,2022-04-18,4603187
Afghanistan,2022-04-26,4636946
Afghanistan,2022-04-27,4637327
Afghanistan,2022-05-05,4668999
Afghanistan,2022-05-08,4670950
Afghanistan,2022-05-10,4676224
Afghanistan,2022-05-15,4710456
Afghanistan,2022-05-23,4758426
Afghanistan,2022-06-01,4807917
Afghanistan,2022-06-15,4923085
Afghanistan,2022-06-21,4979930
Afghanistan,2022-06-30,5064430
Afghanistan,2022-07-10,5105618
Afghanistan,2022-07-17,5309804
Afghanistan,2022-07-19,6422705
Afghanistan,2022-07-27,6571487
Afghanistan,2022-08-07,8272846
Afghanistan,2022-08-15,9613976
Afghanistan,2022-08-22,9771963
Afghanistan,2022-08-31,9939590
Afghanistan,2022-09-04,9963368
Afghanistan,2022-09-11,10096068
Afghanistan,2022-09-12,10105500
Afghanistan,2022-09-19,10187788
Afghanistan,2022-09-26,10233282
Afghanistan,2022-09-28,10245183
Afghanistan,2022-10-04,10278516
Afghanistan,2022-10-11,10303193
Afghanistan,2022-10-16,10328057
Afghanistan,2022-10-24,10386823
Afghanistan,2022-11-01,10427132
Afghanistan,2022-11-02,10458947
Afghanistan,2022-11-08,10489783
Afghanistan,2022-11-15,10517707
Afghanistan,2022-11-16,10531675
Afghanistan,2022-11-27,10587076
Afghanistan,2022-12-05,10615628
Afghanistan,2022-12-22,10754839
Afghanistan,2023-01-06,10825004
Afghanistan,2023-01-16,10894509
Afghanistan,2023-01-22,10956289
Afghanistan,2023-01-29,10967235
Afghanistan,2023-02-12,11043751
Afghanistan,2023-02-14,11062636
Afghanistan,2023-02-19,11661485
Afghanistan,2023-02-23,11885116
Afghanistan,2023-02-26,12476994
Afghanistan,2023-02-28,12723156
Afghanistan,2023-03-05,13337097
Afghanistan,2023-03-12,13542327
Afghanistan,2023-03-14,13544321
Afghanistan,2023-03-19,13723342
Afghanistan,2023-03-21,13730545
Afghanistan,2023-03-26,13742792
Afghanistan,2023-03-28,13743213
Afghanistan,2023-04-02,13815117
Afghanistan,2023-04-09,13846468
Afghanistan,2023-04-11,13900701
Afghanistan,2023-04-16,13928107
Afghanistan,2023-04-18,14005566
Afghanistan,2023-04-24,14018650
Afghanistan,2023-04-25,14021488
Afghanistan,2023-04-30,14064253
Afghanistan,2023-05-03,14076220
Afghanistan,2023-05-09,14109000
Afghanistan,2023-05-14,14187450
Afghanistan,2023-05-16,14233987
Afghanistan,2023-05-21,14502241
Afghanistan,2023-05-29,15168758
Afghanistan,2023-06-06,16064707
Afghanistan,2023-06-11,16271662
Afghanistan,2023-06-13,16280657
Afghanistan,2023-06-18,16443159
Afghanistan,2023-06-20,16505676
Afghanistan,2023-06-27,16556475
Afghanistan,2023-07-04,16607637
Afghanistan,2023-07-09,16611044
Afghanistan,2023-07-11,16661209
Afghanistan,2023-07-18,16676547
Afghanistan,2023-07-23,16687258
Afghanistan,2023-07-25,16743735
Afghanistan,2023-07-30,16787564
Afghanistan,2023-08-01,16833190
Afghanistan,2023-08-06,16870212
Afghanistan,2023-08-08,16885246
Afghanistan,2023-08-15,16932136
Afghanistan,2023-08-20,16990756
Afghanistan,2023-08-27,17047176
Afghanistan,2023-09-01,17148724
Afghanistan,2023-09-05,17158000
Afghanistan,2023-09-10,17235716
Afghanistan,2023-09-17,17299194
Afghanistan,2023-09-19,17370016
Afghanistan,2023-09-26,17479728
Afghanistan,2023-10-08,17515354
Afghanistan,2023-10-16,17607668
Afghanistan,2023-10-24,17744854
Afghanistan,2023-11-05,17757002
Afghanistan,2023-11-07,17836792
Afghanistan,2023-11-14,18036204
Afghanistan,2023-11-26,18115860
Afghanistan,2023-12-31,18370386
Africa,2020-12-02,19629346
Africa,2020-12-03,19629346
Africa,2020-12-04,19629346
Africa,2020-12-05,19629346
Africa,2020-12-06,19629346
Africa,2020-12-07,19629346
Africa,2020-12-08,19629346
Africa,2020-12-09,19629346
Africa,2020-12-10,19629346
Africa,2020-12-11,19629346
Africa,2020-12-12,19629346
Africa,2020-12-13,19629346
Africa,2020-12-14,19629346
Africa,2020-12-15,19629346
Africa,2020-12-16,19629346
Africa,2020-12-17,19629346
Africa,2020-12-18,19629346
Africa,2020-12-19,19629346
Africa,2020-12-20,19629346
Africa,2020-12-21,19629346
Africa,2020-12-22,19629346
Africa,2020-12-23,19629346
Africa,2020-12-24,19629346
Africa,2020-12-25,19629346
Africa,2020-12-26,19629346
Africa,2020-12-27,19629346
Africa,2020-12-28,19629346
Africa,2020-12-29,19629346
Africa,2020-12-30,19629346
Africa,2020-12-31,19629346
Africa,2021-01-01,19629346
Africa,2021-01-02,19629346
Africa,2021-01-03,19629346
Africa,2021-01-04,19629346
Africa,2021-01-05,19629346
Africa,2021-01-06,19629346
Africa,2021-01-07,19629346
Africa,2021-01-08,19629346
Africa,2021-01-09,19629346
Africa,2021-01-10,19629346
Africa,2021-01-11,19629346
Africa,2021-01-12,19629346
Africa,2021-01-13,19629346
Africa,2021-01-14,19629346
Africa,2021-01-15,19629346
Africa,2021-01-16,19629346
Africa,2021-01-17,19629346
Africa,2021-01-18,19629346
Africa,2021-01-19,19629346
Africa,2021-01-20,19629346
Africa,2021-01-21,19629346
Africa,2021-01-22,19629346
Africa,2021-01-23,19629346
Africa,2021-01-24,19629346
Africa,2021-01-25,19629346
Africa,2021-01-26,19629346
Africa,2021-01-27,19629346
Africa,2021-01-28,19629346
Africa,2021-01-29,19629346
Africa,2021-01-30,19629346
Africa,2021-01-31,19629346
Africa,2021-02-01,19629346
Africa,2021-02-02,19629346
Africa,2021-02-03,19629352
Africa,2021-02-04,19629878
Africa,2021-02-05,19630404
Africa,2021-02-06,19630932
Africa,2021-02-07,19632128
Africa,2021-02-08,19633326
Africa,2021-02-09,19636046
Africa,2021-02-10,19639680
Africa,2021-02-11,19643212
Africa,2021-02-12,19643370
Africa,2021-02-13,19643528
Africa,2021-02-14,19644656
Africa,2021-02-15,19645788
Africa,2021-02-16,19647522
Africa,2021-02-17,19649988
Africa,2021-02-18,19652272
Africa,2021-02-19,19657468
Africa,2021-02-20,19669968
Africa,2021-02-21,19680038
